BaseOuts,Slope,Intercept,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
20,-0.278,0.716,0.424,0.299,0.150,0.072,0.032,0.013,0.005,0.002,0.001,0.000
30,-0.358,0.559,0.566,0.226,0.114,0.053,0.023,0.010,0.004,0.002,0.001,0.000
40,-0.167,0.45,0.362,0.256,0.194,0.104,0.048,0.020,0.009,0.004,0.002,0.001
50,-0.37,0.355,0.654,0.185,0.089,0.041,0.018,0.008,0.003,0.001,0.001,0.000
60,-0.216,0.247,0.514,0.194,0.150,0.077,0.037,0.017,0.006,0.003,0.001,0.001
70,-0.229,0.261,0.315,0.356,0.168,0.086,0.044,0.018,0.007,0.004,0.002,0.000
80,-0.127,0.193,0.311,0.247,0.170,0.144,0.071,0.031,0.013,0.008,0.003,0.002
11,-0.296,0.988,0.600,0.243,0.097,0.037,0.014,0.006,0.002,0.001,0.000,0.000
21,-0.268,0.863,0.444,0.326,0.137,0.056,0.022,0.009,0.003,0.001,0.000,0.000
31,-0.191,0.693,0.594,0.234,0.104,0.042,0.017,0.006,0.003,0.001,0.000,0.000
41,-0.174,0.669,0.401,0.258,0.203,0.083,0.034,0.013,0.005,0.002,0.001,0.000
51,-0.27,0.477,0.737,0.152,0.067,0.027,0.011,0.004,0.001,0.001,0.000,0.000
61,-0.116,0.406,0.596,0.176,0.132,0.057,0.024,0.009,0.004,0.001,0.000,0.000
71,-0.311,0.478,0.413,0.328,0.138,0.073,0.029,0.011,0.005,0.002,0.001,0.000
81,-0.142,0.402,0.397,0.244,0.151,0.123,0.051,0.021,0.008,0.003,0.001,0.000
12,-0.163,1.014,0.673,0.222,0.071,0.023,0.007,0.002,0.001,0.000,0.000,0.000
22,-0.194,0.974,0.453,0.374,0.116,0.039,0.012,0.005,0.001,0.000,0.000,0.000
32,-0.107,0.832,0.686,0.204,0.073,0.025,0.008,0.002,0.001,0.000,0.000,0.000
42,-0.144,0.841,0.494,0.237,0.181,0.060,0.018,0.007,0.002,0.001,0.000,0.000
52,-0.047,0.763,0.732,0.177,0.060,0.021,0.007,0.002,0.001,0.000,0.000,0.000
62,-0.199,0.828,0.559,0.206,0.158,0.052,0.017,0.005,0.002,0.001,0.000,0.000
72,-0.095,0.785,0.185,0.548,0.169,0.067,0.023,0.006,0.002,0.000,0.000,0.000
82,-0.209,0.789,0.273,0.355,0.170,0.138,0.041,0.015,0.005,0.001,0.000,0.000
